Date	Open	High	Low	Close	AvgVol	AdjClose
2-Jan-03	879.82	935.05	840.34	855.70	1539433800.00	855.70
3-Feb-03	855.70	864.64	806.29	841.15	1400452600.00	841.15
3-Mar-03	841.15	895.90	788.90	848.18	1503596600.00	848.18
1-Apr-03	848.18	924.24	847.85	916.92	1498005700.00	916.92
1-May-03	916.92	965.38	902.83	963.59	1554328500.00	963.59
2-Jun-03	963.59	1015.33	963.59	974.50	1562219000.00	974.50
1-Jul-03	974.50	1015.41	962.10	990.31	1507327200.00	990.31
1-Aug-03	990.31	1011.01	960.84	1008.01	1229836600.00	1008.01
2-Sep-03	1008.01	1040.29	990.36	995.97	1501457600.00	995.97
1-Oct-03	995.97	1053.79	995.97	1050.71	1469452100.00	1050.71
3-Nov-03	1050.71	1063.65	1031.20	1058.20	1313181000.00	1058.20
1-Dec-03	1058.20	1112.56	1053.41	1111.92	1312119500.00	1111.92
2-Jan-04	1111.92	1155.38	1105.08	1131.13	1722750000.00	1131.13
2-Feb-04	1131.13	1158.98	1124.44	1144.94	1554000000.00	1144.94
1-Mar-04	1144.94	1163.23	1087.16	1126.21	1528634700.00	1126.21
1-Apr-04	1126.21	1150.57	1107.23	1107.30	1583171400.00	1107.30
3-May-04	1107.30	1127.74	1076.32	1120.68	1524950000.00	1120.68
1-Jun-04	1120.68	1146.34	1113.32	1140.84	1381109500.00	1140.84
1-Jul-04	1140.84	1140.84	1078.78	1101.72	1456371400.00	1101.72
2-Aug-04	1101.72	1109.68	1060.72	1104.24	1260227200.00	1104.24
1-Sep-04	1104.24	1131.54	1099.18	1114.58	1360850900.00	1114.58
1-Oct-04	1114.58	1142.05	1090.29	1130.20	1571990400.00	1130.20
1-Nov-04	1130.20	1188.46	1127.60	1173.82	1524465700.00	1173.82
1-Dec-04	1173.78	1217.33	1173.78	1211.92	1449518100.00	1211.92
3-Jan-05	1211.92	1217.80	1163.75	1181.27	1658930000.00	1181.27
1-Feb-05	1181.27	1212.44	1180.95	1203.60	1636467800.00	1203.60
1-Mar-05	1203.60	1229.11	1163.69	1180.59	1874017200.00	1180.59
